geneid,moDC-2811_S3_001,moDC-3941_S6_001,moDC-4540_S9_001,moDC-4771_S12_001,mono-2811_S2_001,mono-3941_S5_001,mono-4540_S8_001,mono-4771_S11_001,tolDC-2811_S4_001,tolDC-3941_S7_001,tolDC-4540_S10_001,tolDC-4771_S13_001
DDX11L1,0.0869,0.1976,0.0577,0,1.4398,0.5717,1.164,0.5119,0.1842,0.3879,0.0359,0
WASH7P,5.4998,8.462,5.8259,5.3738,11.1128,18.9401,11.3599,9.011,6.3349,6.2591,7.2277,5.5918
MI0022705,0,0,0,0,0,0,0,0,0,0,0,0
MI0006363,0,0,0,0,0,0,0,0,0,0,0,0
FAM138F,0,0,0,0,0,4.0277E-06,0,0,0,0.0987,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,0.0188,0.0243,0.155,0.2663,8.105,2.1444,2.9953,2.6667,0.1233,0.0258,0.1457,0.2499
DQ597235,0,0,0,0,0,0,0,0,0,0,0,0
DQ599768,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133331,0.087,0.1042,0.0738,0.4304,1.8166,3.8681,1.0012,1.6845,0.1361,0.2052,0.3072,0.1598
LOC100132062,0,0,0,0.1357,0.2439,0,0,0,0,1.113E-29,0,0
LOC388312,0.0468,0,0.0212,0.0598,5.1246E-19,1.4003,1.3958E-35,2.0888,0.0539,0,0.1446,0.0078
OR4F29,0.0492,0,0.0654,0.3077,0.1012,0,0,0.0759,0.0429,0.0446,0,0
BC036251,0,0,0,0,0,0,0,0,0,0,0,0
JA429830,0,0,0,0,0,0,0,0,0,0,0,0
JA429831,0,0,0,0,0,0,0,0,0,0,0,0
JB137814,0,0,0,0,0,0,0,0,0,0,0,0
MI0022558,0,0,0,0,0,0,0,0,0,0,0,0
M37726,0,0,0,0,0,0,0,0,0,0,0,0
DQ575786,0,0,0,0,0,0,0,0,0,0,0,0
DQ599872,0,0,0,0,0,0,0,0,0,0,0,0
AK310751,0,0,0,0,0,0.5389,0,0.1679,0,0,0,0
LOC100288069,0.783,0.3001,0.753,0.6837,5.2392,3.339,6.6935,3.6522,0.6694,0.1701,1.1597,1.4091
LINC00115,0.8422,0.8122,1.1884,0.5485,3.6078,2.8929,5.176,2.2727,0.3056,1.3341,0.8972,1.0514
LOC643837,1.3856,0.9308,0.8521,1.8315,7.3169,1.0255,2.5026,1.696,1.0582,1.174,0.9996,1.0292
FAM41C,0.0406,0,0,0,0.1114,0.0744,0,0.1671,0,0,0.0594,0
AK056486,0,0,0.0303,0.0475,0.0625,0.0417,0,0,0,0,0,0
LOC100130417,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,0,0,0,0,0,0,0.1253,0.575,0,0,0.0968,0
NOC2L,8.8928,11.0854,10.7629,10.117,7.4105,12.0442,14.313,12.6219,12.1862,12.1302,12.6138,10.7865
KLHL17,0.4929,1.02,1.2893,0.6589,1.7693,3.3973,3.0069,1.6851,1.2067,1.1108,1.0839,1.5632
PLEKHN1,0.0906,0,0,0.113,0.3313,0.2646,0.1597,0.1863,0.0351,0.1094,0.0644,0.0984
C1orf170,0,0,0,0,0,0.1046,0.1006,0.1174,0,0.0689,0,0
HES4,0,0.0855,0,0.2778,1.1444,10.6255,3.1709,2.7951,0,0.1739,0.0512,0.3466
ISG15,11.9705,20.7567,32.9008,78.7423,9.4173,36.231,50.6167,53.0734,5.8019,11.181,17.0773,18.5388
AGRN,4.1447,4.1783,5.2656,10.2742,0.2594,0.364,0.8836,0.7004,2.1208,2.0786,3.32,5.7491
AK310350,0,0,0,0,0,0,0,0,0,0,0,0
BC033949,0.714,0.2542,0.4741,1.0415,1.3701,0.1308,0,0.1468,0.3316,0.0862,0.3549,0.4754
RNF223,0,0,0,0,0,0,0,0,0,0,0,0
C1orf159,0.8585,1.7943,1.5411,1.0879,2.0734,2.2424,2.6252,2.6722,1.5539,1.5142,2.08,1.4701
LOC254099,0,0,0,0,0,0,0,0,0,0,0,0
MI0000342,0,0,0,0,0,0,0,0,0,0,0,0
MI0000737,0,0,0,0,0,0,0,0,0,0,0,0
JA715134,0,0,0,0,0,0,0,0,0,0,0,0
MI0001641,0,0,0,0,0,0,0,0,0,0,0,0
JA715143,0,0,0,0,0,0,0,0,0,0,0,0
AK128833,0,0.0233,0,0,0,0.036,0,0,0,0.0474,0,0
TTLL10,0,0,0,0,0.0899,0,0,0,0,0,0,0
TNFRSF18,0.2889,0.1548,0.1862,0,0.1788,0,0,0,0.0757,0,0.0498,0.1086
TNFRSF4,0.2512,0.3727,0.3336,0.1309,0.2188,0,0.2813,0,0.1193,0.0758,0.2533,0.2657
SDF4,37.8314,41.5665,46.1731,39.1396,21.5082,26.3327,29.3781,26.4135,36.2025,40.9593,40.5705,37.7393
B3GALT6,3.6996,3.7429,4.1549,4.45,0.6127,2.7292,2.6685,2.6035,4.7862,4.6749,3.9325,2.6037
FAM132A,0.0665,0,0,0,0,0,0,0.2733,0,0,0.0472,0
UBE2J2,7.966,8.8763,8.9608,8.1571,5.4882,7.6896,8.2739,6.945,10.1982,7.3459,8.9459,8.3498
SCNN1D,0.0937,0.1626,0.391,0.2789,0.5871,0.5394,0.6602,0.6903,0.1909,0.0646,0.2752,0.9955
ACAP3,4.8053,5.9984,7.7749,5.2324,11.0371,9.6873,7.927,7.3366,4.3284,3.7255,4.6869,5.8377
MI0022571,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,3.9694,4.8591,4.9956,4.4728,1.5384,3.8093,4.7136,3.7186,5.2707,4.1468,4.7784,3.6338
CPSF3L,10.6206,11.2813,10.1901,9.1455,13.237,15.62,13.5132,15.3294,10.4982,10.0624,10.9611,11.6659
MI0022572,0,0,0,0,0,0,0,0,0,0,0,0
GLTPD1,4.6153,4.8028,5.1638,3.4915,0.8667,2.7797,2.6177,1.6248,4.2581,3.7008,4.0188,3.6306
TAS1R3,0,0.0322,0.1079,0.1129,0.2971,0.2481,0.1909,0.1671,0.0315,0.0981,0.1347,0.0902
DVL1,4.5,5.191,6.322,4.7488,3.445,6.8871,6.1204,5.9254,6.647,4.3278,6.4995,7.736
MI0022653,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,0.1524,0.3759,0.4206,0.2924,0.193,0.3352,0.372,0.1447,0.286,0.7645,0.2999,0.3514
AURKAIP1,47.6307,42.2774,54.4883,40.6267,17.2907,26.4131,33.5624,34.9574,45.0758,42.3987,53.8241,38.4845
CCNL2,13.0406,13.768,13.4162,15.8076,19.4332,16.8287,19.7425,16.6581,16.1601,22.6292,18.248,22.0665
LOC148413,3.4564,5.0428,6.2287,3.8072,2.0726,3.4188,4.1298,5.0659,4.2426,5.6127,4.6849,4.3636
